
AC(-1)
AC(-2)
AC(-3)
AC(-4)
AC(-5)
AC(-6)
AC(1)
AC(2)
AC(20)
AC(3)
AC(4)
AC(5)
AC(6)
ACOverrideFormula(13,true,Dexterity)
ACOverrideFormula(16,false)
Ability(Intelligence, 2)
Ability(Intelligence, 31)
Ability(Intelligence, 4)
Ability(Intelligence, 6)
Ability(Intelligence, 8)
Ability(Intelligence,-1)
Ability(Intelligence,-11)
Ability(Intelligence,-2)
Ability(Intelligence,-3)
Ability(Intelligence,-4)
Ability(Intelligence,-5)
Ability(Intelligence,-6)
Ability(Intelligence,-7)
Ability(Intelligence,-8)
Ability(Intelligence,-9)
Ability(Intelligence,2)
Ability(Intelligence,4)
Ability(Intelligence,5)
Ability(Strength, -10)
Ability(Strength, -2)
Ability(Strength, -2, 24)
Ability(Strength, -3)
Ability(Strength, 1)
Ability(Strength, 10)
Ability(Strength, 2)
Ability(Strength, 3)
Ability(Strength, 31)
Ability(Strength, 4)
Ability(Strength, 6)
Ability(Strength, 8)
Ability(Strength,-1)
Ability(Strength,-10)
Ability(Strength,-2)
Ability(Strength,-3)
Ability(Strength,-4)
Ability(Strength,-5)
Ability(Strength,-6)
Ability(Strength,-7)
Ability(Strength,-8)
Ability(Strength,-9)
Ability(Strength,1)
Ability(Strength,2)
Ability(Strength,3)
Ability(Strength,4)
Ability(Strength,5)
Ability(Wisdom, -1)
Ability(Wisdom, -10)
Ability(Wisdom, -2)
Ability(Wisdom, -2, 24)
Ability(Wisdom, -4)
Ability(Wisdom, -5)
Ability(Wisdom, 1)
Ability(Wisdom, 10)
Ability(Wisdom, 2)
Ability(Wisdom, 31)
Ability(Wisdom, 4)
Ability(Wisdom, 6)
Ability(Wisdom, 8)
Ability(Wisdom,-1)
Ability(Wisdom,-2)
Ability(Wisdom,-3)
Ability(Wisdom,-4)
Ability(Wisdom,-5)
Ability(Wisdom,-6)
Ability(Wisdom,-7)
Ability(Wisdom,-8)
Ability(Wisdom,-9)
Ability(Wisdom,2)
Ability(Wisdom,3)
Ability(Wisdom,4)
Ability(Wisdom,5)
AbilityFailedSavingThrow(Charisma)
AbilityFailedSavingThrow(Constitution)
AbilityFailedSavingThrow(Dexterity)
AbilityFailedSavingThrow(Intelligence)
AbilityFailedSavingThrow(Strength)
AbilityFailedSavingThrow(Wisdom)
AbilityOverrideMinimum(Charisma,23)
AbilityOverrideMinimum(Constitution,23)
AbilityOverrideMinimum(Dexterity,23)
AbilityOverrideMinimum(Intelligence,23)
AbilityOverrideMinimum(Strength,21)
AbilityOverrideMinimum(Strength,23)
AbilityOverrideMinimum(Strength,27)
AbilityOverrideMinimum(Wisdom,23)
ActionResource(ActionPoint,-1,0)
ActionResource(ActionPoint,1,0)
ActionResource(AstralPlanePoint,1,0)
ActionResource(BardicInspiration, 1, 0)
ActionResource(BardicInspiration,1,0,d10)
ActionResource(BardicInspiration,1,0,d6)
ActionResource(BardicInspiration,1,0,d8)
ActionResource(BonusActionPoint,1,0)
ActionResource(ChannelDivinity, 1, 0)
ActionResource(ChannelDivinity, 2, 0)
ActionResource(Interrupt_AbsorbElements, 1, 0)
ActionResource(Interrupt_LegendaryEvasion_Protection, 1, 0)
ActionResource(Interrupt_Legendary_InfernalResistance, 1, 0)
ActionResource(Interrupt_MAG_Counterspell, 1, 0)
ActionResource(Interrupt_MAG_ParalyzingCritical, 1, 0)
ActionResource(Interrupt_MAG_SecondChance, 1, 0)
ActionResource(Interrupt_MAG_Shield, 1, 0)
ActionResource(Interrupt_MAG_Shield_HarpersAmulet, 1, 0)
ActionResource(Interrupt_MAG_Shield_LeatherArmor, 1, 0)
ActionResource(Interrupt_Portent_1,1,0)
ActionResource(Interrupt_Portent_10,1,0)
ActionResource(Interrupt_Portent_11,1,0)
ActionResource(Interrupt_Portent_12,1,0)
ActionResource(Interrupt_Portent_13,1,0)
ActionResource(Interrupt_Portent_14,1,0)
ActionResource(Interrupt_Portent_15,1,0)
ActionResource(Interrupt_Portent_16,1,0)
ActionResource(Interrupt_Portent_17,1,0)
ActionResource(Interrupt_Portent_18,1,0)
ActionResource(Interrupt_Portent_19,1,0)
ActionResource(Interrupt_Portent_2,1,0)
ActionResource(Interrupt_Portent_20,1,0)
ActionResource(Interrupt_Portent_3,1,0)
ActionResource(Interrupt_Portent_4,1,0)
ActionResource(Interrupt_Portent_5,1,0)
ActionResource(Interrupt_Portent_6,1,0)
ActionResource(Interrupt_Portent_7,1,0)
ActionResource(Interrupt_Portent_8,1,0)
ActionResource(Interrupt_Portent_9,1,0)
ActionResource(Interrupt_Scarab_Of_Protection, 1, 0)
ActionResource(KiPoint,5,0)
ActionResource(Movement, -3, 0)
ActionResource(Movement, 10, 0)
ActionResource(Movement, 2, 0)
ActionResource(Movement, 4.5, 0)
ActionResource(Movement,-2,0)
ActionResource(Movement,-2.5,0)
ActionResource(Movement,-3,0)
ActionResource(Movement,-3,0):UnlockSpell(Target_Claws_IntellectDevourer)
ActionResource(Movement,-4.5,0)
ActionResource(Movement,1,0)
ActionResource(Movement,1.5,0)
ActionResource(Movement,12,0)
ActionResource(Movement,2,0)
ActionResource(Movement,3,0)
ActionResource(Movement,3.5,0)
ActionResource(Movement,4,0)
ActionResource(Movement,4.5,0)
ActionResource(Movement,5,0)
ActionResource(Movement,6,0)
ActionResource(Movement,7,0)
ActionResource(Movement,9,0)
ActionResource(Rage,3,0)
ActionResource(SneakAttack_Charge,1,0)
ActionResource(SorceryPoint, 1, 0)
ActionResource(SorceryPoint,1,0)
ActionResource(SorceryPoint,2,0)
ActionResource(SorceryPoint,3,0)
ActionResource(SorceryPoint,4,0)
ActionResource(SpellSlot,1,1)
ActionResource(SpellSlot,1,2)
ActionResource(SpellSlot,1,3)
ActionResource(SpellSlot,1,3)AiArchetypeOverride(mage,1)
ActionResource(SpellSlot,1,4)
ActionResource(SpellSlot,1,5)
ActionResource(SpellSlot,2,1)
ActionResource(SpellSlot,2,2)
ActionResource(SpellSlot,4,1)
ActionResource(SuperiorityDie,5,0)
ActionResource(WildShape, 1, 0)
ActionResourceBlock(ActionPoint)
ActionResourceBlock(BonusActionPoint)
ActionResourceBlock(ChannelOath)
ActionResourceBlock(EyeStalkActionPoint)
ActionResourceBlock(KiPoint)
ActionResourceBlock(Movement)
ActionResourceBlock(ReactionActionPoint)
ActionResourceConsumeMultiplier(ActionPoint,0,0)
ActionResourceConsumeMultiplier(BonusActionPoint,0,0)
ActionResourceConsumeMultiplier(Movement, 2,0)
ActionResourceConsumeMultiplier(Movement, 4,0)
ActionResourceConsumeMultiplier(Movement,1.5,0)
ActionResourceConsumeMultiplier(Movement,3,0)
ActionResourceMultiplier(Movement, 50,0)
ActionResourceMultiplier(Movement,0,0)
ActionResourceMultiplier(Movement,200,0)
ActionResourceMultiplier(Movement,25,0)
ActionResourceMultiplier(Movement,300,0)
ActionResourceMultiplier(Movement,400,0)
ActionResourceMultiplier(Movement,50,0)
ActionResourceOverride(LegendaryResistanceCharge,3,0)
ActionResourceOverride(Movement,0,0)
ActionResourcePreventReduction(Movement)
ActiveCharacterLight(051648e6-f05a-e41f-e398-ffd5cd148989)
ActiveCharacterLight(c46e7ba8-e746-7020-5146-287474d7b9f7)
AddProficiencyToDamage()
Advantage(Ability, Charisma)
Advantage(Ability, Constitution)
Advantage(Ability, Dexterity)
Advantage(Ability, Intelligence)
Advantage(Ability, Strength)
Advantage(Ability, Wisdom)
Advantage(AllAbilities)
Advantage(AllSavingThrows)
Advantage(AttackRoll)
Advantage(AttackTarget)
Advantage(Concentration)
Advantage(DeathSavingThrow,)
Advantage(SavingThrow, Dexterity)
Advantage(SavingThrow, Intelligence)
Advantage(SavingThrow, Strength)
Advantage(SavingThrow, Wisdom)
Advantage(SavingThrow,Intelligence)
Advantage(SavingThrow,Wisdom)
Advantage(Skill, Intimidation)
Advantage(Skill, Performance)
Advantage(Skill, Stealth)
Advantage(Skill,Intimidation)
Advantage(Skill,Persuasion)
Advantage(SourceDialogue,Charisma)
AiArchetypeOverride(act3_LOW_cazador_melee,1)
AiArchetypeOverride(act3_WYR_Gortash_melee,1)
AiArchetypeOverride(beast,1)
AiArchetypeOverride(cloaker,1)
AiArchetypeOverride(madness,99)
AiArchetypeOverride(mage,1)
AiArchetypeOverride(meazel_shadowteleport,1)
AiArchetypeOverride(melee,1)
AiArchetypeOverride(melee_smart,1)
AiArchetypeOverride(monk_melee,1)
AiArchetypeOverride(ranged,1)
AiArchetypeOverride(rogue,1)
AttackSpellOverride(LOW_Vampire_MainHandAttack_NonLethal, Target_UnarmedAttack)
AttackSpellOverride(Projectile_MainHandAttack_Sahuagin, Projectile_MainHandAttack)
AttackSpellOverride(Projectile_MainHandAttack_TadpoledSkeleton_Ranger, Projectile_MainHandAttack)
AttackSpellOverride(Projectile_SteelWatcher_Crossbow, Projectile_MainHandAttack)
AttackSpellOverride(Projectile_WYR_MainHandAttack_Gortash, Projectile_MainHandAttack)
AttackSpellOverride(Target_Bite_Wolf, Target_UnarmedAttack)
AttackSpellOverride(Target_Bite_Wolf_Dire, Target_UnarmedAttack)
AttackSpellOverride(Target_Claws_TollCollector, Target_UnarmedAttack)
AttackSpellOverride(Target_HAV_TakingIsobel_MHA_Override_FlyingGhoul, Target_UnarmedAttack)
AttackSpellOverride(Target_HAV_TakingIsobel_MHA_Override_Marcus, Target_MainHandAttack)
AttackSpellOverride(Target_LOW_PlagueShip_Claws_Imp, Target_MainHandAttack)
AttackSpellOverride(Target_LOW_Vampire_MainHandAttack_NonLethal_Spawn, Target_UnarmedAttack)
AttackSpellOverride(Target_MainHandAttack_Brewer, Target_MainHandAttack)
AttackSpellOverride(Target_MainHandAttack_GuardianOfFaith, Target_MainHandAttack)
AttackSpellOverride(Target_MainHandAttack_Sahuagin, Target_MainHandAttack)
AttackSpellOverride(Target_MainHandAttack_ShadarKai_GloomWeaver, Target_MainHandAttack)
AttackSpellOverride(Target_MindFlayer_HammerAttack,Target_MainHandAttack)
AttackSpellOverride(Target_MindFlayer_HammerAttack,Target_UnarmedAttack)
AttackSpellOverride(Target_SteelWatcher_Greatsword, Target_MainHandAttack)
AttackSpellOverride(Target_SteelWatcher_Greatsword_Quadruped, Target_MainHandAttack)
AttackSpellOverride(Target_TWN_Slam_Zombie_Brewer, Target_MainHandAttack)
AttackSpellOverride(Target_Tusk_Boar, Target_UnarmedAttack)
AttackSpellOverride(Target_WYR_UnarmedAttack_Bane_Gortash, Target_MainHandAttack)
Attribute(EnableObscurityEvents)
Attribute(ForceMainhandAlternativeEquipBones)
Attribute(Grounded)
Attribute(InventoryBound)
Attribute(ObscurityWithoutSneaking)
BlockAbilityModifierDamageBonus()
BlockAbilityModifierFromAC(Dexterity)
BlockRegainHP()
BlockSpellCast()
BlockTravel
BlockTravel()
BlockVerbalComponent()
CanShootThrough(true)
CanWalkThrough(true)
CannotBeDisarmed()
CannotHarmCauseEntity(CannotHarmCharmer)
CannotHarmCauseEntity(CannotHarmHypnotize)
CannotHarmCauseEntity(CannotHarmMadness)
CannotHarmCauseEntity(CannotHarmSanctuary)
CarryCapacityMultiplier(0.75)
CarryCapacityMultiplier(1.25)
CarryCapacityMultiplier(2.0)
CarryCapacityMultiplier(3)
CarryCapacityMultiplier(3.0)
CharacterUnarmedDamage(1d4)
CharacterUnarmedDamage(1d4, Fire)
CharacterUnarmedDamage(1d4, Force)
CharacterUnarmedDamage(1d6)
CharacterWeaponDamage(-1d4)
CharacterWeaponDamage(1)
CharacterWeaponDamage(1d10)
CharacterWeaponDamage(1d4)
CharacterWeaponDamage(1d4, Necrotic)
CharacterWeaponDamage(1d4, Piercing)
CharacterWeaponDamage(1d4, Psychic)
CharacterWeaponDamage(1d4, Radiant)
CharacterWeaponDamage(1d4,Fire)
CharacterWeaponDamage(1d4,Necrotic)
CharacterWeaponDamage(1d4,Radiant)
CharacterWeaponDamage(1d6)
CharacterWeaponDamage(1d6, Necrotic)
CharacterWeaponDamage(1d6,Necrotic)
CharacterWeaponDamage(1d8)
CharacterWeaponDamage(1d8, Force)
CharacterWeaponDamage(1d8,Necrotic)
CharacterWeaponDamage(2d4,Lightning)
CharacterWeaponDamage(2d6, Psychic)
CharacterWeaponDamage(6d6,Piercing)
CharacterWeaponDamage(max(1,Cause.CharismaModifier),Radiant)
CriticalDamageOnHit()
CriticalHit(AttackRoll, Failure, Never)
CriticalHit(AttackRoll,Success,Always,18)
CriticalHit(AttackRoll,Success,Never)
CriticalHit(AttackTarget,Failure,Never,3)
CriticalHit(AttackTarget,Success,Always,18)
CriticalHit(AttackTarget,Success,Always,2)
CriticalHit(AttackTarget,Success,Always,3)
CriticalHit(AttackTarget,Success,Never)
DamageBonus(-1d6,,false)
DamageBonus(1)
DamageBonus(15,Psychic)
DamageBonus(1d10, Necrotic, false)
DamageBonus(1d4)
DamageBonus(1d6,Fire,true)
DamageBonus(1d8)
DamageBonus(2)
DamageBonus(2d10, Necrotic, false)
DamageBonus(3)
DamageBonus(3d10, Necrotic, false)
DamageBonus(4d10, Necrotic, false)
DamageBonus(5)
DamageBonus(5d10, Necrotic, false)
DamageBonus(6d10, Necrotic, false)
DamageBonus(7d10, Necrotic, false)
DamageReduction(All, Flat, 1)
DamageReduction(All, Flat, 1000)
DamageReduction(All, Flat, 2)
DamageReduction(All,Flat,1)
DamageReduction(All,Flat,2*Cause.Level+Cause.IntelligenceModifier)
DamageReduction(All,Half)
DamageReduction(Bludgeoning, Flat, 1)
DamageReduction(Fire, Flat,5)
DamageReduction(Piercing, Flat, 1)
DamageReduction(Slashing, Flat, 1)
DarkvisionRangeMin(12)
DarkvisionRangeMin(24)
DarkvisionRangeMin(60)
DetectDisturbancesBlock(true)
DialogueBlock()
Disadvantage(Ability, Charisma)
Disadvantage(Ability, Charisma, BEAST)
Disadvantage(Ability, Constitution)
Disadvantage(Ability, Dexterity)
Disadvantage(Ability, Intelligence)
Disadvantage(Ability, Strength)
Disadvantage(Ability, Wisdom)
Disadvantage(AllAbilities)
Disadvantage(AllSavingThrows)
Disadvantage(AttackRoll)
Disadvantage(AttackTarget)
Disadvantage(AttackTarget,CELESTIAL)
Disadvantage(AttackTarget,ELEMENTAL)
Disadvantage(AttackTarget,FEY)
Disadvantage(AttackTarget,FIEND)
Disadvantage(AttackTarget,UNDEAD)
Disadvantage(Concentration)
Disadvantage(SavingThrow, Charisma)
Disadvantage(SavingThrow, Constitution)
Disadvantage(SavingThrow, Dexterity)
Disadvantage(SavingThrow, Intelligence)
Disadvantage(SavingThrow, Strength)
Disadvantage(SavingThrow, Wisdom)
Disadvantage(SavingThrow,Charisma)
Disadvantage(SavingThrow,Constitution)
Disadvantage(SavingThrow,Dexterity)
Disadvantage(SavingThrow,Intelligence)
Disadvantage(SavingThrow,Strength)
Disadvantage(SavingThrow,Wisdom)
Disadvantage(Skill, AnimalHandling, BEAST)
Disadvantage(Skill,Perception)
DownedStatus(DEATH_WARD_DOWNED,10)
DownedStatus(DOWNED)
DownedStatus(POTION_OF_UNDYING_DOWNED,5)
DownedStatus(RELENTLESS_ENDURANCE_DOWNED,5)
DownedStatus(STEEL_WATCHER_INVULNERABILITY,-1)
DownedStatus(SURVIVAL_INSTINCT_DOWNED,6)
EnableBasicItemInteractions()
FactionOverride(17db6e60-1086-4fbb-b615-8ca6aafb925f)
FactionOverride(3dc77873-29b2-418b-97b1-647d85593df0)
FactionOverride(56443c8e-d76b-49ec-bdb2-e436e2b48c36)
FactionOverride(64321d50-d516-b1b2-cfac-2eb773de1ff6)
FactionOverride(811059d2-54d0-41f4-9e2c-c047670943d9)
FactionOverride(Source)
FactionOverride(d520a0f0-d712-4a13-97a8-9e0398512261)
FallDamageMultiplier(0.5)
GameplayLight(15,false,0.1,true)
GameplayLight(2,false,0.1)
GameplayLight(3,false,0.1)
GameplayLight(5,false,0.1)
GameplayLight(6,false,0.1)
GameplayLight(6,false,0.1,true)
GameplayLight(7.5,false,0.1)
GameplayLight(9,false,0.1)
GameplayLight(9,false,0.1,true)
GameplayObscurity(6)
HalveWeaponDamage(Strength)
HorizontalFOVOverride(10)
IF((Tagged('BEHOLDER') or Tagged('SPIDER') or Tagged('SPIDER_PHASE') or Tagged('ETTERCAP'))):WeaponDamage(2d6, Piercing)
IF(AttackingWithMeleeWeapon()):Disadvantage(AttackTarget)
IF(AttackingWithMeleeWeapon(context.Source)):Reroll(Damage, 9, false)
IF(AttackingWithMeleeWeapon(context.Source)):Reroll(Damage, 9, true)
IF(AttackingWithRangedWeapon(context.Source)):Reroll(Damage, 7, false)
IF(AttackingWithRangedWeapon(context.Source)):Reroll(Damage, 7, true)
IF(AttackingWithRangedWeapon(context.Source)):Reroll(Damage, 9, false)
IF(CharismaGreaterThan(9,context.Source)):TemporaryHP(CharismaModifier+ClassLevel(Warlock))
IF(DistanceToTargetGreaterThan(3)):Disadvantage(AttackTarget)
IF(HasHPPercentageWithoutTemporaryHPEqualOrLessThan(50, context.Target)):WeaponDamage(1d4, Piercing)
IF(HasPassive('MindlessRage',context.Source)):StatusImmunity(SG_Charmed)
IF(HasPassive('MindlessRage',context.Source)):StatusImmunity(SG_Frightened)
IF(HasPassive('Mobile_DashAcrossDifficultTerrain', context.Source)):StatusImmunity(DIFFICULT_TERRAIN)
IF(HasPassive('Mobile_DashAcrossDifficultTerrain', context.Source)):StatusImmunity(DIFFICULT_TERRAIN_MUD)
IF(HasPassive('Mobile_DashAcrossDifficultTerrain', context.Source)):StatusImmunity(DIFFICULT_TERRAIN_VINES)
IF(HasPassive('SpreadingSpores', context.Source)):UnlockSpell(Target_SpreadingSpores)
IF(HasStatus('CURSE_ATTACK', context.Source, context.Target)):Disadvantage(AttackRoll)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_1',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_10',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_2',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_3',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_4',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_5',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_6',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_7',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_8',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('DEATHSHEAD_UNSTOPPABLE_9',context.Source)):DamageReduction(All, Threshold, 1000)
IF(HasStatus('ELDRITCH_STRIKE', context.Target, context.Source)):Disadvantage(AllSavingThrows)
IF(HasStatus('ENTROPIC_WARD',context.Target,context.Source)):Advantage(AttackTarget)
IF(HasStatus('FLANKED')):DamageBonus(ProficiencyBonus)
IF(HasStatus('INVOKE_DUPLICITY',context.Source)):SourceAllyAdvantageOnAttack()
IF(HasStatus('LOW_DEVILSFEE_WEALTH',context.Target)):Advantage(AttackRoll)
IF(HasStatus('MAG_NON_LETHAL') or HasStatus('NON_LETHAL')):RollBonus(Attack,1d4)
IF(HasStatus('MULTIATTACKDEFENSE_TECHNICAL',context.Target)):RollBonus(Attack,-4)
IF(HasStatus('SG_Rage')):DownedStatus(RELENTLESS_RAGE_DOWNED,5)
IF(HasStatus('SHA_JUSTICIAR_CALLOFTHEDARK',context.Target)):CharacterWeaponDamage(4)
IF(HasStatus('SHILLELAGH',GetAttackWeapon())):WeaponDamage(1d4,Bludgeoning)
IF(HasStatus('SLAYER_PLAYER') or HasStatus('SLAYER_PLAYER_10')):AC(1)
IF(HasStatus('WILD_MAGIC_ENCHANT', GetAttackWeapon()) and IsWeaponAttack()):CriticalHit(AttackRoll,Success,Always)
IF(IsAttack()):DamageBonus(1d4,Psychic)
IF(IsAttackType(AttackType.RangedWeaponAttack)):DamageReduction(All,Flat,1d10+DexterityModifier)
IF(IsDamageTypeFire() and not Self()):DamageBonus(MAG_FIRE_HEAT.Duration, Fire)
IF(IsInSunlight(context.Target)):Disadvantage(AllAbilities)
IF(IsInSunlight(context.Target)):Disadvantage(AttackRoll)
IF(IsMeleeAttack() and IsWeaponAttack()):SourceAllyAdvantageOnAttack(AttackTarget)
IF(IsMeleeAttack()):Advantage(AttackRoll)
IF(IsMeleeAttack()):CharacterWeaponDamage(max(1, Cause.CharismaModifier))
IF(IsMeleeAttack()):DamageReduction(All, Flat, 1d4+DexterityModifier)
IF(IsMeleeWeaponAttack()):Advantage(AttackRoll)
IF(IsMeleeWeaponAttack()):CharacterWeaponDamage(1d4)
IF(IsMeleeWeaponAttack()):DamageBonus(1d4, Psychic, false)
IF(IsMeleeWeaponAttack()):DamageBonus(max(1, CharismaModifier))
IF(IsMeleeWeaponAttack()):ReduceCriticalAttackThreshold(1)
IF(IsRangedAttack()):Advantage(AttackRoll)
IF(IsRangedUnarmedAttack()):Advantage(AttackRoll)
IF(IsReactionAttack(context.Source)):Disadvantage(AttackRoll)
IF(IsReactionAttack(context.Source)):Disadvantage(AttackTarget)
IF(IsSpell() and IsDamageTypeAcid()):DamageBonus(max(0, CharismaModifier))
IF(IsSpell() and IsDamageTypeCold()):DamageBonus(max(0, CharismaModifier))
IF(IsSpell() and IsDamageTypeFire()):DamageBonus(max(0, CharismaModifier))
IF(IsSpell() and IsDamageTypeLightning()):DamageBonus(max(0, CharismaModifier))
IF(IsSpell() and IsDamageTypePoison()):DamageBonus(max(0, CharismaModifier))
IF(IsSpell()):Advantage(AllSavingThrows)
IF(IsSpell()):Advantage(AttackRoll)
IF(IsSpell()):DamageBonus(1)
IF(IsSpell()):DamageBonus(1d12,Fire)
IF(IsSpellChildOrVariantFromContext('Projectile_MagicMissile')):DamageReduction(Force,Flat,100)
IF(IsWeaponAttack()):Advantage(AttackRoll)
IF(IsWeaponAttack()):CharacterWeaponDamage(max(1,SpellCastingAbilityModifier))
IF(IsWeaponAttack()):DamageBonus(1d4, Acid, false)
IF(IsWeaponAttack()):DamageBonus(1d4, Cold, false)
IF(IsWeaponAttack()):DamageBonus(1d4, Fire, false)
IF(IsWeaponAttack()):DamageBonus(1d4, Lightning, false)
IF(IsWeaponAttack()):DamageBonus(1d4, Thunder, false)
IF(IsWeaponAttack()):DamageBonus(1d6, Acid, false)
IF(IsWeaponAttack()):DamageBonus(1d6, Cold, false)
IF(IsWeaponAttack()):DamageBonus(1d6, Fire, false)
IF(IsWeaponAttack()):DamageBonus(1d6, Lightning, false)
IF(IsWeaponAttack()):DamageBonus(1d6, Thunder, false)
IF(IsWeaponAttack()):Disadvantage(AttackRoll)
IF(IsWeaponAttack()):RollBonus(Attack,LevelMapValue(SuperiorityDie))
IF(Item(context.Source)):WeaponDamage(1d4, Fire)
IF(Item(context.Source)):WeaponDamage(1d6, Radiant)
IF(Item(context.Source)):WeaponProperty(Unstowable)
IF(SpellDamageTypeIs(DamageType.Acid)):DamageBonus(ProficiencyBonus, Acid, false)
IF(SpellDamageTypeIs(DamageType.Cold)):DamageBonus(ProficiencyBonus, Cold, false)
IF(SpellDamageTypeIs(DamageType.Fire)):DamageBonus(ProficiencyBonus, Fire, false)
IF(SpellDamageTypeIs(DamageType.Lightning)):DamageBonus(ProficiencyBonus, Lightning, false)
IF(SpellDamageTypeIs(DamageType.Poison)):DamageBonus(ProficiencyBonus, Poison, false)
IF(SpellDamageTypeIs(DamageType.Thunder)):DamageBonus(ProficiencyBonus, Thunder, false)
IF(Tagged('ABERRATION')):Advantage(AttackRoll)
IF(Tagged('ABERRATION', context.Source) or Tagged('CELESTIAL', context.Source) or Tagged('ELEMENTAL', context.Source) or Tagged('FEY', context.Source) or Tagged('FIEND', context.Source) or Tagged('UNDEAD', context.Source)):Disadvantage(AttackTarget)
IF(Tagged('CELESTIAL')):Advantage(AttackRoll)
IF(Tagged('DWARF', context.Target) or Tagged('GNOME', context.Target)):WeaponDamage(1d4, Piercing)
IF(Tagged('FEY', context.Target) or Tagged('HAG', context.Target) or Tagged('ABERRATION', context.Target) or Tagged('FIEND', context.Target)):WeaponAttackRollBonus(1d4)
IF(Tagged('FEY', context.Target) or Tagged('HAG', context.Target) or Tagged('ABERRATION', context.Target) or Tagged('FIEND', context.Target)):WeaponDamage(1d4, Piercing)
IF(Tagged('FIEND')):Advantage(AttackRoll)
IF(Tagged('GITHYANKI', context.Target) or Tagged('ELEMENTAL', context.Target) or Tagged('ABERRATION', context.Target) or Tagged('FIEND', context.Target)):WeaponAttackRollBonus(1d4)
IF(Tagged('GITHYANKI', context.Target) or Tagged('ELEMENTAL', context.Target) or Tagged('ABERRATION', context.Target) or Tagged('FIEND', context.Target)):WeaponDamage(1d4, Slashing)
IF(Tagged('GNOLL_FLIND', context.Source)):UnlockSpell(Target_Multiattack_Gnoll_Flind_Melee)
IF(Tagged('MEPHIT', context.Source)):UnlockSpell(Target_HeatMetal_Reapply_MagmaMephit)
IF(Tagged('MEPHIT',context.Source)):UnlockSpell(Target_HeatMetal_Reapply_MagmaMephit)
IF(Tagged('SHADOW', context.Target)):WeaponDamage(1d6, Piercing)
